Brand,Year,Model,UsedOrNew,Transmission,EngineDisplacement(L),DriveType,FuelType,FuelConsumption(L)/100km,Kilometers,CylindersinEngine,BodyType,State
Ford,2012,Ranger,USED,Manual,3.2,4WD,Diesel,9.4,254121,5,Ute / Tray,NSW
Honda,2008,Civic,USED,Manual,2.0,Front,Premium,9.3,165450,4,Hatchback,NSW
Honda,2022,CR-V,USED,Automatic,1.5,Front,Unleaded,7.3,15087,4,SUV,NSW
Nissan,2013,Navara,USED,Automatic,2.5,4WD,Diesel,10.5,159056,4,Ute / Tray,NSW
Hyundai,2017,Tucson,USED,Automatic,2.0,AWD,Diesel,6.8,97295,4,SUV,NSW
Mazda,2015,CX-5,USED,Automatic,2.5,AWD,Unleaded,7.4,83095,4,SUV,NSW
Isuzu,2017,D-MAX,USED,Automatic,3.0,4WD,Diesel,7.7,192988,4,Ute / Tray,NSW
Mercedes-Benz,2014,A200,USED,Automatic,1.8,Front,Diesel,4.6,105663,4,Hatchback,NSW
Toyota,2007,HiAce,USED,Manual,2.7,Rear,Unleaded,11.6,222603,4,Commercial,NSW
Ford,2020,Puma,USED,Automatic,1.0,Front,Premium,5.3,22300,3,SUV,NSW
Mazda,2022,2,USED,Automatic,1.5,Front,Unleaded,5.2,11824,4,Hatchback,NSW
Toyota,2007,Corolla,USED,Automatic,1.8,Front,Unleaded,7.7,250318,4,Hatchback,NSW
Jeep,2016,Grand,USED,Automatic,3.6,4WD,Premium,10.4,39967,6,SUV,NSW
Hyundai,2020,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,38341,4,SUV,NSW
Toyota,2020,Camry,USED,Automatic,2.5,Front,Unleaded,8.3,7528,4,Sedan,NSW
Honda,2018,City,USED,Automatic,1.5,Front,Unleaded,5.8,94385,4,Sedan,NSW
Toyota,2018,C-HR,USED,Automatic,1.2,AWD,Premium,5.6,110047,4,SUV,NSW
Kia,2012,Sorento,USED,Automatic,2.2,AWD,Diesel,7.4,164189,4,SUV,NSW
Holden,2013,Cruze,USED,Automatic,1.8,Front,Unleaded,7.4,106722,4,Hatchback,NSW
Isuzu,2018,MU-X,USED,Automatic,3.0,Front,Diesel,8.1,72650,4,SUV,NSW
Kia,2015,Cerato,USED,Automatic,1.8,Front,Unleaded,7.1,123624,4,Sedan,NSW
Lexus,2014,IS350,USED,Automatic,3.5,Rear,Premium,9.7,155620,6,Sedan,NSW
Mazda,2018,2,USED,Automatic,1.5,Front,Unleaded,4.9,53426,4,Hatchback,NSW
Toyota,2009,Corolla,USED,Automatic,1.8,Front,Unleaded,7.7,114727,4,Hatchback,NSW
Toyota,2016,Kluger,USED,Automatic,3.5,AWD,Unleaded,10.6,98983,6,SUV,NSW
Volkswagen,2007,Golf,USED,Automatic,2.0,Front,Premium,8.1,160523,4,Hatchback,NSW
Holden,2015,Commodore,USED,Automatic,6.0,Rear,Premium,11.8,96000,8,Sedan,NSW
Nissan,2016,X-Trail,USED,Automatic,2.5,Front,Unleaded,7.9,39397,4,SUV,NSW
Hyundai,2020,I30,USED,Automatic,2.0,Front,Unleaded,7.4,54368,4,Hatchback,NSW
Holden,2014,Cruze,USED,Automatic,1.8,Front,Unleaded,7.4,220683,4,Hatchback,NSW
Toyota,2013,Camry,USED,Automatic,2.5,Front,Unleaded,7.8,89140,4,Sedan,NSW
Toyota,2013,Corolla,USED,Automatic,1.8,Front,Unleaded,6.6,149974,4,Hatchback,NSW
Hyundai,2019,I30,USED,Automatic,2.0,Front,Unleaded,7.4,44879,4,Hatchback,NSW
Mazda,2016,BT-50,USED,Automatic,3.2,4WD,Diesel,9.2,110909,5,Ute / Tray,NSW
Toyota,2013,Corolla,USED,Automatic,1.8,Front,Unleaded,6.6,109519,4,Hatchback,NSW
Kia,2020,Stinger,USED,Automatic,3.3,Rear,Unleaded,10.2,19372,6,Sedan,NSW
Toyota,2015,RAV4,USED,Automatic,2.5,AWD,Unleaded,8.5,155198,4,SUV,NSW
Honda,2012,Jazz,USED,Automatic,1.3,Front,Unleaded,6.6,111323,4,Hatchback,NSW
BMW,2017,430I,USED,Automatic,2.0,Rear,Premium,5.8,79882,4,Hatchback,NSW
Volkswagen,2008,Golf,USED,Manual,2.0,Front,Premium,8.1,155839,4,Hatchback,NSW
Subaru,2018,Outback,USED,Automatic,2.5,AWD,Unleaded,7.3,66805,4,SUV,NSW
Ford,2011,Territory,USED,Automatic,2.7,Rear,Diesel,8.2,227646,6,SUV,NSW
Kia,2013,RIO,USED,Automatic,1.4,Front,Unleaded,6.3,88465,4,Hatchback,NSW
Holden,2013,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.5,237426,6,Sedan,NSW
Toyota,2013,Hilux,USED,Manual,3.0,Rear,Diesel,8.1,345194,4,Ute / Tray,NSW
